Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Marlborough Place, St Johns Wood, NW8","£3,100,000",Terraced,4.0,3.0,Ask agent
"Firecrest Drive, Hampstead, London, NW3","£3,100,000",Penthouse,4.0,2.0,"2,020 sq ft"
"Horseferry Road, Westminster, SW1P","£3,100,000",Apartment,3.0,3.0,"1,680 sq ft"
"Lonsdale Road, 
Barnes, SW13","£3,100,000",Semi-Detached,5.0,3.0,Ask agent
"Gloucester Crescent, Primrose Hill, London, NW1","£3,100,000",Terraced,5.0,2.0,"2,652 sq ft"
"Mountview Close, NW11","£3,100,000",Flat,3.0,2.0,"1,704 sq ft"
"Cromwell Road, London, SW5","£3,100,000",Apartment,5.0,4.0,"2,899 sq ft"
"Cadogan Square, London, SW1X","£3,100,000",Penthouse,3.0,2.0,"1,375 sq ft"
"Radnor Mews, London, W2","£3,100,000",Mews,4.0,4.0,"1,992 sq ft"
"The Pastures, Totteridge","£3,100,000",Detached,6.0,4.0,"4,694 sq ft"
"Beaufort Gardens, London, SW3","£3,095,000",Flat,3.0,2.0,"1,401 sq ft"
"Beaufort Gardens, 
Knightsbridge, SW3","£3,095,000",Flat,3.0,2.0,"1,340 sq ft"
"Goldhawk Road, London, W12","£2,950,000",Detached,7.0,5.0,"3,844 sq ft"
"Beaufort Gardens, London, SW3","£3,095,000",Flat,3.0,2.0,"1,387 sq ft"
"Park West, Prince Of Wales Drive, Wandsworth, SW11","£3,072,000",Apartment,3.0,2.0,Ask agent
"Triptych Bankside, 185 Park Street,, London, SE1","£3,065,000",Apartment,3.0,2.0,"1,380 sq ft"
"W1 Place, London, W1W","£3,055,000",Apartment,2.0,2.0,891 sq ft
"W1 Place, Great Portland Street, London, W1W","£3,055,000",Apartment,2.0,2.0,891 sq ft
"Great Portland Street, London, W1W","£3,055,000",Apartment,2.0,1.0,925 sq ft
"The Chimes, 
99-105 Horseferry Road, SW1P","£3,050,000",Flat,3.0,3.0,"1,625 sq ft"
"Porchester Gardens, Bayswater, London, W2 4DF.","£3,050,000",Apartment,2.0,2.0,"1,083 sq ft"
"Porchester Gardens, Bayswater, London, W2, United Kingdom","£3,050,000",Flat,2.0,2.0,"1,083 sq ft"
"The Bryanston, Hyde Park, 55 Bryanston Street, Marylebone, London, W1H 7BZ","£3,050,000",Apartment,1.0,1.0,"1,182 sq ft"
"No. 18 Porchester Gardens, London, W2","£3,050,000",Duplex,2.0,2.0,"1,084 sq ft"
"250 City Road Islington, London, EC1V","£3,045,000",Apartment,2.0,3.0,"1,857 sq ft"
"1 Hampstead Lane,
London,
N6 4RS","£3,020,000",Retirement Property,3.0,3.0,"1,619 sq ft"
"1 Hampstead Lane,
London,
N6 4RS","£3,020,000",Retirement Property,2.0,2.0,"1,804 sq ft"
"The Bishops Avenue, Hampstead Garden Suburb","£3,020,000",Apartment,2.0,2.0,"1,619 sq ft"
"1 Hampstead Lane,
London,
N6 4RS","£3,020,000",Retirement Property,2.0,2.0,"1,833 sq ft"
"Westmoreland Place, SW1V","£3,000,000",Terraced,5.0,4.0,"2,831 sq ft"
"Rosemont Road,Acton, London","£3,000,000",Detached,6.0,4.0,"3,711 sq ft"
"Cleveland Square, 
Bayswater, W2","£3,000,000",Flat,5.0,3.0,"2,288 sq ft"
"Lonsdale Road, London, W4","£3,000,000",House,4.0,2.0,"2,404 sq ft"
"Christchurch Street, Chelsea, London, SW3","£3,000,000",Terraced,3.0,2.0,"1,287 sq ft"
"Blomfield Road, Little Venice, W9","£3,000,000",Flat,3.0,1.0,"1,650 sq ft"
"Holland Park Terrace, Portland Road, London, W11","£3,000,000",Apartment,3.0,2.0,"1,867 sq ft"
New Providence Wharf,"£3,000,000",Penthouse,3.0,3.0,Ask agent
"Albert Embankment, London, SE1","£2,900,000",Apartment,3.0,3.0,Ask agent
"Eyre Court, 3-21 Finchley Road, London, NW8","£3,000,000",Apartment,4.0,3.0,"1,812 sq ft"
"Redington Gardens, Hampstead, NW3","£3,000,000",Terraced,4.0,3.0,"1,825 sq ft"
"Lichfield Gardens, Richmond, TW9","£3,000,000",End of Terrace,6.0,2.0,Ask agent
"Hillbury Road, London, SW17","£3,000,000",House,6.0,3.0,"4,127 sq ft"
"High Street, Brentford","£3,000,000",Plot,,,Ask agent
"Knightsbridge Court, 
Sloane Street, SW1X","£3,000,000",Flat,3.0,3.0,"1,305 sq ft"
Radnor Terrace London W14,"£3,000,000",Flat,3.0,3.0,Ask agent
"River View Heights, Bermondsey Wall West, London, SE16","£3,000,000",Penthouse,4.0,2.0,"2,600 sq ft"
"The Avenue, 
Richmond, TW9","£3,000,000",Semi-Detached,5.0,3.0,"2,530 sq ft"
"Queens Crescent, Richmond, TW10","£3,000,000",Detached,5.0,4.0,"2,606 sq ft"
"Gayfere Street, London, SW1P","£3,000,000",Terraced,4.0,2.0,"1,736 sq ft"
"Clapham Common, London, SW4","£3,000,000",Terraced,6.0,3.0,"3,014 sq ft"
"Meadowbank, Primrose Hill, London, NW3","£3,000,000",Town House,5.0,,"2,956 sq ft"
"Millbank, London, SW1P","£3,000,000",Flat,2.0,2.0,938 sq ft
"Cleveland Square , Bayswater, London, W2","£3,000,000",Apartment,3.0,2.0,"1,803 sq ft"
"Alder House, Battersea Power Station, London, SW11","£3,000,000",Apartment,3.0,3.0,Ask agent
"71 Abingdon Road, W8","£3,000,000",Town House,6.0,,"2,497 sq ft"
"Luxemburg Gardens, London, W6","£3,000,000",Terraced,6.0,3.0,Ask agent
"West Hill Road, London, SW18","£3,000,000",House,4.0,3.0,"2,780 sq ft"
"Crossharbour Plaza, LONDON, E14","£3,000,000",Flat,4.0,3.0,Ask agent
"Oakley Street, Chelsea","£3,000,000",Apartment,2.0,2.0,Ask agent
"Wapping High Street, London, E1W","£3,000,000",Flat,3.0,3.0,"2,015 sq ft"
"Hans Place, Knightsbridge, SW1X","£3,000,000",Apartment,3.0,2.0,Ask agent
"5 Belvedere Road, SE1","£3,000,000",Apartment,2.0,2.0,"1,361 sq ft"
"Lexington House, 10 - 14 Auriol Road, London, W14","£3,000,000",Duplex,3.0,2.0,"1,625 sq ft"
"Hillbury Road, Balham","£3,000,000",House,6.0,3.0,Ask agent
"Brook Green, London, W6","£3,000,000",End of Terrace,4.0,,Ask agent
"Wetherby Mansions, Earl's Court Square, London, SW5","£3,000,000",Apartment,4.0,3.0,"2,224 sq ft"
"Central St. Giles Piazza, 1–13 St Giles High Street, Covent Garden, WC2H","£3,000,000",Apartment,3.0,3.0,"1,573 sq ft"
"Craven Hill Gardens, Bayswater, W2","£3,000,000",Apartment,2.0,2.0,"1,611 sq ft"
"Fairhazel Gardens, London, NW6","£3,000,000",Terraced,5.0,,"3,026 sq ft"
"Kings Road, Chelsea, SW10","£3,000,000",House,4.0,2.0,"2,352 sq ft"
"Crown Square, London, SE1","£3,000,000",Flat,2.0,2.0,979 sq ft
"Sprimont Place, London, SW3","£3,000,000",End of Terrace,4.0,2.0,"1,238 sq ft"
"The Marlowes, St. John's Wood, London, NW8","£3,000,000",Semi-Detached,4.0,2.0,"1,900 sq ft"
Millbank London SW1P,"£3,000,000",Apartment,2.0,2.0,Ask agent
"Dollis Avenue, London, N3 1BY","£3,000,000",Semi-Detached,6.0,6.0,"4,454 sq ft"
"New Oxford Street, London, WC1A","£3,000,000",Apartment,2.0,2.0,"1,213 sq ft"
"Kingston Hill, Kingston upon Thames, Surrey, KT2","£3,000,000",Detached,8.0,4.0,"5,420 sq ft"
"Lancaster Park, Richmond, Surrey, TW10","£3,000,000",Terraced,5.0,2.0,"2,561 sq ft"
"Chevening Road, London, NW6","£3,000,000",Terraced,5.0,4.0,"2,703 sq ft"
"Canonbury Park North, London, N1","£3,000,000",Semi-Detached,4.0,3.0,"2,382 sq ft"
"Chilworth Mews, London, W2","£3,000,000",Mews,4.0,4.0,"2,260 sq ft"
"The Marlowes, St John's Wood, NW8","£3,000,000",Semi-Detached,4.0,2.0,"1,900 sq ft"
"Aylestone Avenue, London, NW6","£3,000,000",Detached,5.0,3.0,"3,157 sq ft"
"Walmer Road, London, W11","£3,000,000",Semi-Detached,2.0,2.0,"2,320 sq ft"
"Prince Albert Road, St Johns Wood, London NW8","£3,000,000",Flat,3.0,3.0,"1,260 sq ft"
"Grove Park, Camberwell, SE5","£3,000,000",Detached,6.0,2.0,"3,556 sq ft"
"Ordnance Hill, St John's Wood NW8","£2,850,000",House,3.0,2.0,"1,469 sq ft"
"Hendon Avenue, Finchley, N3","£3,000,000",Detached,7.0,4.0,"3,681 sq ft"
"Principal Tower, Shoreditch, London","£3,000,000",Apartment,3.0,1.0,"1,456 sq ft"
"Great Russell Street, Holborn, WC1B","£3,000,000",Terraced,,,Ask agent
"Talbot Road, London, W2","£3,000,000",End of Terrace,3.0,2.0,"1,541 sq ft"
"Eyre Court, Finchley Road, St John's Wood, London","£3,000,000",Apartment,4.0,3.0,"1,820 sq ft"
"The Avenue, Kew, Surrey, TW9","£3,000,000",Semi-Detached,5.0,3.0,"2,572 sq ft"
Eccleston Mews,"£3,000,000",House,3.0,3.0,Ask agent
"Holst Mansions, 96 Wyatt Drive, Barnes, London, SW13","£3,000,000",Apartment,3.0,3.0,"3,022 sq ft"
"Violet Hill, St. John's Wood, NW8","£3,000,000",Terraced,4.0,2.0,"1,727 sq ft"
"Radnor Terrace, Kensington, London, W14, United Kingdom","£3,000,000",Flat,3.0,3.0,"1,728 sq ft"
"Mapesbury Conservation, NW2","£3,000,000",Detached,7.0,3.0,"4,533 sq ft"
"Kings Gate, Kings Gate Walk, Westminster, London, SW1E","£3,000,000",Apartment,3.0,3.0,"1,705 sq ft"
"Great Portland Street, London, Greater London,  W1W 5QJ","£3,000,000",Apartment,2.0,2.0,926 sq ft
"Canonbury Park North, Islington, London, N1","£3,000,000",Terraced,4.0,4.0,"2,179 sq ft"
"Lancaster Gate, LONDON, W2","£3,000,000",Flat,2.0,2.0,"1,386 sq ft"
"Dollar Bay Point, 
3 Dollar Bay Place, E14","£3,000,000",Flat,3.0,4.0,"3,129 sq ft"
"Kings Tower, Chelsea Creek, Fulham, SW6","£3,000,000",Flat,3.0,3.0,"1,309 sq ft"
"Hawtrey Road, Primrose Hill, London, NW3","£3,000,000",Semi-Detached,3.0,3.0,"2,767 sq ft"
"Holly Village, Highgate, London, N6","£3,000,000",Detached,3.0,2.0,Ask agent
"Dalgarno Gardens, North Kensington, W10","£3,000,000",Terraced,6.0,2.0,"2,447 sq ft"
"Chester Mews, Belgravia, London, SW1X","£3,000,000",Maisonette,5.0,6.0,"2,860 sq ft"
"Crooms Hill, London, SE10","£3,000,000",House,6.0,5.0,"3,076 sq ft"
"Spire House, Lancaster Gate, London, W2","£3,000,000",Apartment,3.0,2.0,"1,798 sq ft"
"Wynnstay Gardens, London, W8","£3,000,000",Apartment,4.0,3.0,"1,749 sq ft"
"St. Johns Wood Road, St John's Wood","£3,000,000",Flat,5.0,3.0,"2,637 sq ft"
"Harvist Road, London NW6","£3,000,000",Terraced,5.0,4.0,"3,060 sq ft"
"St. Edmunds Terrace, London, NW8","£3,000,000",Terraced,3.0,2.0,"1,357 sq ft"
"Meadowbank, Primrose Hill, NW3","£3,000,000",House,5.0,5.0,"2,966 sq ft"
"Portobello Road, Portobello, London, W11","£3,000,000",Flat,3.0,3.0,"2,062 sq ft"
"Wotton Road, London, NW2","£3,000,000",Penthouse,5.0,5.0,"5,711 sq ft"
"Lichfield Gardens, London, TW9","£3,000,000",Semi-Detached,6.0,2.0,"2,850 sq ft"
"Riverlight Three, Nine Elms","£3,000,000",Apartment,3.0,3.0,"1,921 sq ft"
"Eccleston Mews, London","£3,000,000",Terraced,3.0,3.0,"1,524 sq ft"
"Richardsons Mews, London, W1T","£3,000,000",Mews,4.0,2.0,"1,800 sq ft"
"Sprimont Place, Chelsea","£3,000,000",House,4.0,2.0,Ask agent
"Meadowbank, Primrose Hill, London, NW3","£3,000,000",Terraced,5.0,5.0,"2,956 sq ft"
"Arena Tower, 
25 Crossharbour Plaza, E14","£3,000,000",Flat,4.0,3.0,"2,622 sq ft"
"Cheyne Gardens, 
Chelsea, SW3","£3,000,000",Maisonette,3.0,2.0,"1,704 sq ft"
"Porchester Gardens, Bayswater, London, W2 4DF","£3,000,000",Apartment,2.0,2.0,838 sq ft
"Cleveland Square, London","£3,000,000",Flat,3.0,2.0,"1,862 sq ft"
"Millbank, Westminster, London, SW1P","£3,000,000",Flat,2.0,2.0,936 sq ft
"Porchester Gardens, Bayswater, London, W2, United Kingdom","£3,000,000",Flat,2.0,2.0,838 sq ft
"Mandarin Oriental, Hanover Square, W1S","£3,000,000",Apartment,1.0,2.0,Ask agent
"West End Lane, London, NW6","£3,000,000",Semi-Detached,5.0,3.0,"2,271 sq ft"
"Walmer Yard, London W11","£3,000,000",Mews,2.0,3.0,"2,320 sq ft"
"Adam & Eve Mews, London, W8","£3,000,000",Mews,4.0,4.0,Ask agent
"Green Street, Mayfair, London, W1K","£3,000,000",Apartment,3.0,2.0,"1,291 sq ft"
"Ebury Square, Belgravia, London, SW1W","£3,000,000",Apartment,2.0,3.0,"1,471 sq ft"
"New Concordia Wharf, Mill Street, London, SE1","£3,000,000",Apartment,2.0,2.0,"2,066 sq ft"
"Firs Estate, South Woodford, London, E18","£3,000,000",Detached,5.0,5.0,"5,034 sq ft"
"Downs Park Road, London, E5","£3,000,000",Semi-Detached,6.0,3.0,"3,989 sq ft"
"Wotton Road, London, NW2","£3,000,000",House,5.0,4.0,"5,711 sq ft"
"Arthur Road, Wimbledon, London, SW19","£3,000,000",Semi-Detached,6.0,4.0,"3,686 sq ft"
"Sprimont Place, 
Chelsea, SW3","£3,000,000",House,4.0,2.0,"1,309 sq ft"
"Bézier Apartments, City Road, London EC1Y","£3,000,000",Apartment,3.0,3.0,"2,528 sq ft"
"Luxemburg Gardens, London W6","£3,000,000",Terraced,5.0,3.0,"2,939 sq ft"
"Chelsea Creek, Fulham, London, SW6","£3,000,000",Flat,3.0,3.0,"1,830 sq ft"
"Earl's Court Square, London SW5","£3,000,000",Apartment,4.0,3.0,"2,239 sq ft"
"Aldrington Road, Furzedown, London, SW16 1TH","£3,000,000",Plot,,,Ask agent
"Raynham, Norfolk Crescent, Hyde Park, London, W2","£3,000,000",Flat,3.0,3.0,"1,584 sq ft"
"Fairhome Close, Finchley, N3","£3,000,000",Detached,7.0,6.0,"5,431 sq ft"
"Bernard Gardens, Wimbledon, London, SW19","£3,000,000",Semi-Detached,6.0,5.0,"3,587 sq ft"
"Finlay Street, London, SW6","£3,000,000",Terraced,5.0,3.0,"2,843 sq ft"
"The Knightsbridge Apartments, Knightsbridge, SW7","£3,000,000",Flat,1.0,1.0,"1,035 sq ft"
"Cranley Gardens, SW7","£3,000,000",Apartment,3.0,3.0,"1,432 sq ft"
"Commercial Road, London, E1","£3,000,000",End of Terrace,,,Ask agent
"Iverna Court, 
Kensington, W8","£3,000,000",Flat,4.0,2.0,"1,819 sq ft"
"New Oxford Street, Covent Garden, London WC1A 1DB","£3,000,000",Apartment,2.0,2.0,"1,227 sq ft"
"Eccleston Mews, Belgravia, SW1X","£3,000,000",Mews,3.0,3.0,"1,524 sq ft"
"Eccleston Mews, Belgravia, London, SW1V, United Kingdom","£3,000,000",House,3.0,3.0,"1,524 sq ft"
"Gloucester Mews West, Paddington, London, W2","£3,000,000",Mews,4.0,,"2,144 sq ft"
"Albert Hall Mansions, London, SW7","£3,000,000",Apartment,2.0,2.0,"1,581 sq ft"
"Eccleston Mews, 
Belgravia, SW1X","£3,000,000",Mews,3.0,3.0,"1,549 sq ft"
"Loudoun Road, 
St John's Wood, NW8","£3,000,000",Terraced,5.0,3.0,"2,160 sq ft"
"Cheyne Gardens, Chelsea, London, SW3","£3,000,000",Flat,3.0,2.0,"1,302 sq ft"
"The Lancasters, Hyde Park, London, W2","£3,000,000",Flat,2.0,2.0,"1,402 sq ft"
"One Blackfriars, Blackfriars Road, SE1","£3,000,000",Apartment,3.0,3.0,Ask agent
"Westminster Bridge Road, London, SE1","£3,000,000",Block of Apartments,,,"8,076 sq ft"
"250 City Road, London, EC1V","£2,999,990",Penthouse,2.0,3.0,"1,636 sq ft"
"250 City Road, London, EC1V","£2,999,990",Apartment,2.0,2.0,"1,636 sq ft"
"City Road, Angel, London, EC1V","£2,999,990",Penthouse,2.0,2.0,"1,636 sq ft"
"Mount Avenue, W5","£2,999,950",Block of Apartments,7.0,5.0,Ask agent
"Knightsbridge, London, SW1X","£2,999,950",Apartment,2.0,2.0,Ask agent
"Bryanston Court, 1 George Street, Marylebone, W1H","£2,999,950",Apartment,6.0,2.0,"3,046 sq ft"
"South Parade, London, W4 1JU","£2,999,950",Semi-Detached,5.0,3.0,"3,100 sq ft"
"Pont Street, Knightsbridge, London, SW1X","£2,999,950",Apartment,2.0,2.0,"1,194 sq ft"
"Mount Avenue, W5","£2,999,950",Detached,7.0,5.0,Ask agent
"Petersham Road, Richmond, Surrey, TW10","£2,999,500",Detached,4.0,4.0,"3,163 sq ft"
"Just off Petersham Road, Richmond, TW10","£2,999,500",Detached,4.0,3.0,"3,313 sq ft"
"Lambolle Place, Belsize Park, London, NW3","£2,999,000",End of Terrace,4.0,2.0,"2,111 sq ft"
"Great Portland Street, London, W1W","£2,998,000",Apartment,2.0,2.0,926 sq ft
Great Portland Street Marylebone W1W,"£2,998,000",Flat,2.0,2.0,Ask agent
"Clifton Hill, St John's Wood, NW8","£2,985,000",House,4.0,3.0,"2,132 sq ft"
"W1 Place, Marylebone, London, W1W","£2,998,000",Flat,2.0,2.0,926 sq ft
"W1 PLACE, GREAT PORTLAND STREET, London, W1W","£2,998,000",Flat,2.0,1.0,926 sq ft
"W1 PLACE, GREAT PORTLAND STREET, London, W1W","£2,998,000",Flat,2.0,2.0,826 sq ft
"Great Portland Street, Marylebone, W1W","£2,998,000",Apartment,2.0,2.0,826 sq ft
"Great Portland Street, Marylebone, W1W","£2,998,000",Apartment,2.0,2.0,926 sq ft
"Marylebone Square, Marylebone","£2,998,000",Apartment,2.0,2.0,826 sq ft
"Great Portland Street, London, W1W","£2,998,000",,2.0,2.0,826 sq ft
"Great Portland Street, W1W","£2,998,000",Block of Apartments,2.0,2.0,926 sq ft
"Great Portland Street, Fitzrovia, London, W1W","£2,998,000",Apartment,2.0,2.0,826 sq ft
"West Heath Road, London","£2,995,000",Apartment,3.0,4.0,"2,712 sq ft"
"The Luxley, NW11","£2,995,000",Apartment,3.0,3.0,"2,068 sq ft"
"Sterndale Road, Brook Green W14","£2,995,000",Terraced,5.0,4.0,"2,796 sq ft"
"Triptych Bankside, 185 Park Street, London, SE1","£2,995,000",Apartment,3.0,2.0,"1,466 sq ft"
"Penzance Place, Notting Hill","£2,995,000",Terraced,3.0,3.0,"1,897 sq ft"
"Cadogan Gardens, Chelsea, SW3","£2,995,000",Apartment,3.0,2.0,"1,582 sq ft"
"Sterndale Road, London W14","£2,995,000",Terraced,6.0,4.0,"2,738 sq ft"
"Rawlings Street, London, SW3","£2,995,000",Terraced,3.0,3.0,"2,012 sq ft"
"High Beeches, West Heath Road, Hampstead, NW3","£2,995,000",Flat,3.0,3.0,"2,712 sq ft"
"Albert Hall Mansions, Prince Consort Road, South Kensington, SW7","£2,995,000",Flat,3.0,2.0,Ask agent
"Warwick Gardens, London, W14","£2,995,000",Flat,3.0,4.0,Ask agent
Cadogan Gardens,"£2,995,000",Apartment,3.0,2.0,Ask agent
"Rutland Gate, London, SW7","£2,995,000",Apartment,2.0,2.0,"1,424 sq ft"
"Penzance Place, Notting Hill, London, W11","£2,995,000",Terraced,3.0,3.0,"1,898 sq ft"
"Nine Elms Lane, London","£2,992,000",Flat,3.0,3.0,"1,518 sq ft"
"Belmont Street, London, NW1","£2,990,000",Flat,4.0,4.0,Ask agent
"Totteridge Village, Totteridge","£2,990,000",House,4.0,4.0,Ask agent
"W1 Place, Marylebone, London, W1W","£2,988,000",Flat,2.0,2.0,826 sq ft
"Clifton Hill, St John's Wood, London, NW8","£2,985,000",Semi-Detached,4.0,3.0,"2,133 sq ft"
"Denman Street, London, W1D","£2,975,000",Apartment,,4.0,"2,533 sq ft"
"Petersham Mews, South Kensington SW7","£2,975,000",Mews,3.0,3.0,"2,279 sq ft"
"Draycott Avenue, London, SW3","£2,975,000",Apartment,4.0,3.0,"1,663 sq ft"
"Palace Court, W2","£2,975,000",Flat,3.0,3.0,"1,409 sq ft"
"Draycott Avenue, Chelsea SW3","£2,975,000",Triplex,4.0,3.0,Ask agent
"Peel Street, London, Kensington, W8","£2,975,000",Terraced,4.0,3.0,"1,773 sq ft"
"Eaton Gate, London","£2,975,000",Flat,3.0,3.0,Ask agent
"Clanricarde Gardens, Notting Hill, London, W2","£2,975,000",Flat,3.0,2.0,"1,720 sq ft"
"1 Hampstead Lane,
London,
N6 4RS","£2,970,000",Retirement Property,2.0,2.0,"1,585 sq ft"
"Studdridge Street, London, SW6","£2,950,000",Terraced,4.0,3.0,"2,253 sq ft"
"White City Living, 
54 Wood Lane, W12","£2,950,000",Flat,3.0,3.0,"1,425 sq ft"
"Ashley Gardens, Emery Hill Street, Westminster, London, SW1P","£2,950,000",Flat,3.0,3.0,"1,964 sq ft"
"Tedworth Square, London, SW3","£2,950,000",Apartment,4.0,2.0,"1,452 sq ft"
"Hyde Park Towers, 1 Porchester Terrace, London, W2","£2,950,000",Apartment,2.0,2.0,"1,037 sq ft"
"The Montevetro Building, Battersea, SW11","£2,950,000",Apartment,3.0,3.0,"1,968 sq ft"
"The Bishops Avenue, London","£2,950,000",Apartment,3.0,3.0,"2,041 sq ft"
"Markham Square, Chelsea","£2,950,000",Flat,3.0,3.0,Ask agent
"Goldhawk Road, London W12","£2,950,000",House,6.0,5.0,"3,809 sq ft"
"Amwell Street, Clerkenwell","£2,850,000",Terraced,4.0,2.0,"3,000 sq ft"
"Durham Place, London, SW3","£2,950,000",Flat,2.0,2.0,"1,534 sq ft"
"The Bishops Avenue, Hampstead, N2","£2,950,000",Flat,3.0,3.0,"2,041 sq ft"
"Elliott Square, Primrose Hill, NW3","£2,950,000",Town House,6.0,3.0,"2,346 sq ft"
"Chalcot Crescent, Primrose Hill, London, NW1","£2,950,000",Terraced,3.0,2.0,"1,800 sq ft"
"North Gate, Prince Albert Road, St John's Wood, London, NW8","£2,950,000",Apartment,3.0,3.0,"1,851 sq ft"
"Clink Street, London, SE1","£2,950,000",Apartment,2.0,3.0,"2,943 sq ft"
"Biddulph Road, Maida Vale, London, W9","£2,950,000",House,4.0,3.0,"2,812 sq ft"
"Hazel Court, 49 The Bishops Avenue, Hampstead Garden Suburb, London, N2","£2,950,000",Apartment,3.0,2.0,"2,322 sq ft"
"Chalcot Crescent, Primrose Hill, London","£2,950,000",Terraced,2.0,2.0,"1,816 sq ft"
"Southside Common, Wimbledon, London, SW19","£2,950,000",Apartment,3.0,2.0,Ask agent
"Craven Hill Gardens, Lancaster Gate, London, W2","£2,950,000",Flat,3.0,2.0,"1,588 sq ft"
"Romney Street, Westminster","£2,950,000",Terraced,5.0,5.0,Ask agent
"Killieser Avenue, London, SW2","£2,950,000",Semi-Detached,4.0,4.0,"4,110 sq ft"
"Park Street, London","£2,950,000",Apartment,2.0,2.0,"1,108 sq ft"
"Queens Way, Hendon, NW4","£2,950,000",Detached,7.0,6.0,Ask agent
"Vale of Health, London","£2,950,000",Terraced,3.0,2.0,Ask agent
"The Charles, Covent Garden, WC2R","£2,950,000",Penthouse,3.0,3.0,"2,200 sq ft"
"Wise Lane, Mill HIll","£2,950,000",Detached,6.0,3.0,Ask agent
"49 The Bishops Avenue, N2","£2,950,000",Apartment,3.0,3.0,"2,390 sq ft"
"Romney Street, Westminster, London, SW1P","£2,950,000",House,5.0,5.0,"1,582 sq ft"
"Bell Yard Mews, London, SE1","£2,950,000",Penthouse,3.0,3.0,"1,943 sq ft"
"Augustine Road, Brook Green, W14","£2,950,000",Terraced,4.0,5.0,"2,637 sq ft"
"Lauderdale Drive, Richmond, TW10","£2,950,000",Semi-Detached,6.0,4.0,Ask agent
"Bryanston Court, 137 George Street, Mayfair, W1H","£2,950,000",Apartment,4.0,3.0,"1,401 sq ft"
"Park Street, London, W1K","£2,950,000",Apartment,2.0,2.0,"1,108 sq ft"
"Pont Street, London","£2,950,000",Flat,2.0,2.0,"1,264 sq ft"
"Draycott Place, Chelsea SW3","£2,950,000",Flat,2.0,2.0,Ask agent
"Plane Tree House, Duchess Of Bedfords Walk, Kensington, London, W8","£2,950,000",Apartment,3.0,2.0,"1,370 sq ft"
"Highlever Road, London, W10","£2,950,000",Terraced,,,Ask agent
"Hyde Park Towers, 1 Porchester Terrace, Bayswater, London, W2","£2,950,000",Apartment,1.0,2.0,"1,037 sq ft"
"Thornton Hill, Wimbledon Village","£2,950,000",House,5.0,3.0,Ask agent
"Mile End Road, Stepney Green, London, E1","£2,950,000",Terraced,6.0,3.0,"4,405 sq ft"
"Bolton Gardens, London","£2,950,000",Penthouse,3.0,3.0,Ask agent
"The Tower, St George's Wharf, Battersea, London, SW8, United Kingdom","£2,950,000",Flat,3.0,3.0,"1,483 sq ft"
"Redburn Street, Chelsea, London, SW3","£2,950,000",Terraced,3.0,3.0,"2,282 sq ft"
"Thomas Earle House, Warwick Lane, London W14","£2,950,000",Flat,3.0,3.0,Ask agent
"Teviot House, 26 Ormonde Gate, Chelsea, SW3","£2,950,000",Apartment,3.0,3.0,"1,393 sq ft"
"Thomas Earle House, Warwick Lane, Kensington, W14","£2,950,000",Apartment,3.0,3.0,Ask agent
"Roehampton Gate, 
Putney, SW15","£2,950,000",Detached,5.0,3.0,Ask agent
"Elmfield Road, London, SW17.","£2,950,000",Terraced,8.0,5.0,"5,398 sq ft"
"Augustine Road, London, W14","£2,950,000",Terraced,5.0,4.0,"2,800 sq ft"
"Goldhawk Road, Shepherd's Bush W12","£2,950,000",,6.0,5.0,Ask agent
"Seymour Place, Marylebone, London, W1H","£2,950,000",Semi-Detached,4.0,3.0,"2,507 sq ft"
"Draycott Place, London","£2,950,000",Flat,2.0,2.0,"1,875 sq ft"
"Hanway Street, Fitzrovia, London, W1T","£2,950,000",Duplex,2.0,2.0,"1,539 sq ft"
"Campden Hill Court, Campden Hill Road, London, W8","£2,950,000",Apartment,4.0,3.0,"1,712 sq ft"
"Princes Mews, Wesbourne Grove","£2,950,000",Terraced,3.0,2.0,Ask agent
"Draycott Place, 
Chelsea, SW3","£2,950,000",Flat,3.0,2.0,"1,881 sq ft"
"North Row, Mayfair, W1K","£2,950,000",Penthouse,2.0,1.0,Ask agent
"Eversley Crescent, Winchmore Hill, London, N21","£2,950,000",Detached,5.0,3.0,"3,186 sq ft"
"Holland Park Mansions, Holland Park Gardens, London, W14","£2,950,000",Flat,3.0,2.0,"2,031 sq ft"
"Romney Street, Westminster, SW1P","£2,950,000",Town House,5.0,5.0,"1,487 sq ft"
"Burghley Road, Kentish Town, NW5","£2,950,000",Semi-Detached,4.0,4.0,Ask agent
"Goldhawk Road, London, W12","£2,950,000",Detached,6.0,5.0,"3,844 sq ft"
"Arlington Street, Mayfair, London, SW1A","£2,950,000",Apartment,3.0,3.0,"1,589 sq ft"
"Gledhow Gardens, London SW5","£2,950,000",Apartment,3.0,2.0,"1,507 sq ft"
"Settrington Road, London, SW6","£2,950,000",Terraced,5.0,4.0,"2,655 sq ft"
"Wise Lane, Mill Hill, London, NW7","£2,950,000",Detached,6.0,3.0,Ask agent
"North Gate, Prince Albert Road, London, NW8","£2,950,000",Apartment,3.0,2.0,"1,530 sq ft"
"Manor House Drive, Brondesbury Park, London, NW6","£2,950,000",Detached,6.0,4.0,"3,470 sq ft"
"Victoria Grove, Kensington, W8","£2,900,000",House,4.0,2.0,"1,633 sq ft"
